City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,57.09,95,95,3.04,overcast clouds
80,Papara,BR,-3.9839,-38.7273,79.68,95,68,2.19,broken clouds
81,Birin,NP,26.8865,88.0718,62.08,91,96,4.54,overcast clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.18,80,95,16.06,overcast clouds
83,Elmadag,TR,39.9208,33.2308,59.13,82,99,4.45,overcast clouds
84,Severodvinsk,RU,64.5635,39.8302,59.11,80,100,6.87,overcast clouds
85,Salinopolis,BR,-0.6136,-47.3561,78.73,83,26,10.4,scattered clouds
86,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,49,3.18,scattered clouds
87,Vaini,TO,-21.2,-175.2,80.76,89,40,9.22,scattered clouds
88,Padang,ID,-0.9492,100.3543,73.45,78,97,1.9,overcast clouds
89,Srednekolymsk,RU,67.45,153.6833,64.58,31,11,4.47,few clouds
90,Cabra,ES,37.4725,-4.4421,76.66,33,40,6.55,scattered clouds
91,Kudahuvadhoo,MV,2.6708,72.8944,83.41,71,100,8.3,overcast clouds
92,Cabedelo,BR,-6.9811,-34.8339,75.87,81,8,8.97,clear sky
93,Khorixas,NA,-20.3667,14.9667,58.98,47,0,2.28,clear sky
94,Hasaki,JP,35.7333,140.8333,68.4,61,100,5.57,overcast clouds
95,Ganta,LR,7.3022,-8.5308,69.1,99,72,1.12,light rain
96,Thinadhoo,MV,0.5333,72.9333,84.09,72,100,7.87,overcast clouds
97,Contamana,PE,-7.3333,-75.0167,71.44,62,27,3.02,scattered clouds
98,Mangrol,IN,21.1167,70.1167,81.97,79,52,5.35,broken clouds
99,Rewa,IN,24.5333,81.3,95.07,30,98,9.55,overcast clouds
100,Hay River,CA,60.8156,-115.7999,58.98,72,75,9.22,thunderstorm
101,Mount Gambier,AU,-37.8333,140.7667,52.27,76,96,1.3,overcast clouds
102,Alofi,NU,-19.0595,-169.9187,82.29,74,3,13.8,clear sky
103,Ewa Beach,US,21.3156,-158.0072,87.75,53,75,17.27,broken clouds
104,Xining,CN,36.6167,101.7667,51.21,67,95,2.44,overcast clouds
105,Kosa,RU,59.9445,54.9977,40.08,76,3,5.77,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,67.73,64,100,21.79,overcast clouds
107,Pemangkat,ID,1.1667,108.9667,78.04,85,100,5.77,overcast clouds
108,Magadan,RU,59.5667,150.8,45.54,85,28,3.83,scattered clouds
109,Rocha,UY,-34.4833,-54.3333,44.33,93,0,5.03,clear sky
110,Akyab,MM,20.15,92.9,81.45,84,73,3.09,broken clouds
111,Ribeira Grande,PT,38.5167,-28.7,62.85,76,14,23.76,few clouds
112,Henties Bay,NA,-22.116,14.2845,63.46,60,0,5.03,clear sky
113,Klaksvik,FO,62.2266,-6.589,47.32,96,95,14.99,overcast clouds
114,Tianpeng,CN,30.9866,103.9393,70.27,77,100,2.57,light rain
115,Grand Gaube,MU,-20.0064,57.6608,70.38,83,81,4.0,light rain
116,Ponta Do Sol,PT,32.6667,-17.1,70.0,81,5,1.01,clear sky
117,Ketchikan,US,55.3422,-131.6461,55.87,67,100,11.5,overcast clouds
118,Georgetown,MY,5.4112,100.3354,76.95,99,20,2.3,few clouds
119,Cidreira,BR,-30.1811,-50.2056,53.15,65,96,15.95,overcast clouds
120,Talnakh,RU,69.4865,88.3972,61.21,45,99,4.18,overcast clouds
121,Phalaborwa,ZA,-23.943,31.1411,54.68,50,0,4.61,clear sky
122,Redding,US,40.5865,-122.3917,80.37,35,20,21.85,few clouds
123,Pacific Grove,US,36.6177,-121.9166,74.34,79,100,13.8,overcast clouds
124,Iqaluit,CA,63.7506,-68.5145,42.53,60,100,15.01,overcast clouds
125,Bengkulu,ID,-3.8004,102.2655,75.63,85,100,4.32,overcast clouds
126,Andros Town,BS,24.7,-77.7667,84.16,73,7,12.75,clear sky
127,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,20.71,clear sky
128,Qaanaaq,GL,77.484,-69.3632,29.98,73,7,7.43,clear sky
129,Esperance,AU,-33.8667,121.9,57.24,65,13,29.82,few clouds
130,Tezu,IN,27.9167,96.1667,72.79,98,100,3.02,overcast clouds
131,Beidao,CN,34.5686,105.8933,63.52,69,43,1.05,scattered clouds
132,Tessalit,ML,20.1986,1.0114,85.41,28,86,9.64,overcast clouds
133,Jamestown,US,42.097,-79.2353,73.02,54,97,5.01,overcast clouds
134,Rawson,AR,-43.3002,-65.1023,57.79,29,100,8.77,overcast clouds
135,Norman Wells,CA,65.282,-126.8329,41.04,93,100,10.36,light intensity shower rain
136,Severo-Kurilsk,RU,50.6789,156.125,45.3,86,39,9.1,scattered clouds
137,Olinda,BR,-8.0089,-34.8553,78.53,83,20,6.91,few clouds
138,Barrow,US,71.2906,-156.7887,30.22,86,100,5.75,overcast clouds
139,Kapaa,US,22.0752,-159.319,85.98,75,40,17.27,scattered clouds
140,Port Hardy,CA,50.6996,-127.4199,55.58,67,75,13.8,broken clouds
141,Pizarro,CO,4.9533,-77.366,78.98,81,86,6.87,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,73.54,84,8,1.32,clear sky
143,Katsuura,JP,35.1333,140.3,68.45,70,100,6.58,overcast clouds
144,Mahibadhoo,MV,3.7833,72.9667,83.21,73,100,7.81,overcast clouds
145,Faya,SA,18.3851,42.4509,68.52,22,2,3.56,clear sky
146,Arcata,US,40.8665,-124.0828,61.93,80,100,13.8,overcast clouds
147,Pevek,RU,69.7008,170.3133,38.28,66,68,7.23,broken clouds
148,Chokurdakh,RU,70.6333,147.9167,60.48,24,8,13.15,clear sky
149,Hambantota,LK,6.1241,81.1185,80.38,78,90,15.82,overcast clouds
150,Noumea,NC,-22.2763,166.4572,73.99,99,100,6.31,overcast clouds
151,Tulagi,SB,-9.0996,160.1476,82.26,72,11,11.63,few clouds
152,Kitimat,CA,54.0524,-128.6534,60.91,60,72,1.01,broken clouds
153,Torbay,CA,47.6666,-52.7314,65.17,68,20,10.36,few clouds
154,Duluth,US,46.7833,-92.1066,70.07,61,40,12.66,scattered clouds
155,Forte Dei Marmi,IT,43.9648,10.1724,71.98,66,0,2.17,clear sky
156,Port Hedland,AU,-20.3167,118.5667,66.25,42,82,9.22,broken clouds
157,Kuching,MY,1.55,110.3333,77.22,94,40,4.61,scattered clouds
158,Christchurch,NZ,-43.5333,172.6333,48.9,73,100,6.91,overcast clouds
159,Eyl,SO,7.9803,49.8164,80.85,67,85,24.05,overcast clouds
160,Rosetown,CA,51.5501,-108.0014,73.38,31,92,6.91,overcast clouds
161,Fortuna,US,40.5982,-124.1573,61.66,84,100,17.27,overcast clouds
162,Karasuk,RU,53.7377,78.0403,62.96,64,68,7.14,broken clouds
163,Avarua,CK,-21.2078,-159.775,78.85,69,75,13.8,broken clouds
164,Saldanha,ZA,-33.0117,17.9442,59.23,91,100,16.4,light rain
165,Kamenka,RU,51.3223,42.7678,55.98,73,1,8.19,clear sky
166,Laguna,US,38.421,-121.4238,85.75,53,0,18.41,clear sky
167,Moroni,KM,-11.7022,43.2551,75.16,78,26,10.33,scattered clouds
168,Katherine,AU,-14.4667,132.2667,61.12,31,5,6.91,clear sky
169,Faanui,PF,-16.4833,-151.75,79.79,75,39,23.49,light rain
170,Dingle,PH,10.9995,122.6711,80.33,82,76,2.35,broken clouds
171,Deputatskiy,RU,69.3,139.9,59.67,38,0,17.92,clear sky
172,Dikson,RU,73.5069,80.5464,29.7,95,100,16.89,overcast clouds
173,Berlevag,NO,70.8578,29.0864,44.55,70,100,20.71,overcast clouds
174,Longyearbyen,SJ,78.2186,15.6401,39.04,87,100,2.3,overcast clouds
175,Capiibary,PY,-24.8,-56.0333,44.78,73,0,2.75,clear sky
176,Nishihara,JP,26.1842,127.7558,80.26,100,75,17.27,broken clouds
177,Kota Bahru,MY,6.1333,102.2386,78.75,94,20,0.0,few clouds
178,Pont-A-Mousson,FR,48.9079,6.0589,66.58,63,0,4.61,clear sky
179,Cacu,BR,-18.5567,-51.1308,58.55,32,94,4.47,overcast clouds
180,Husyatyn,UA,49.0726,26.2141,57.36,87,0,6.58,clear sky
181,Te Anau,NZ,-45.4167,167.7167,36.0,99,98,1.86,light rain
182,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,20.71,light rain
